id,name,status,area_id,date
161,JATOI,1,99,17-04-24
162,JEHLUM,1,88,17-04-24
163,JHAL JAO,1,9,17-04-24
164,JHAL MAGSI,1,16,17-04-24
165,JHANDU MARI,1,131,17-04-24
166,JHANG,1,89,17-04-24
167,JHAT PAT,1,15,17-04-24
168,JHUDO,1,124,17-04-24
169,JIWANI,1,14,17-04-24
170,JOHI,1,114,17-04-24
171,KABIR WALA,1,91,17-04-24
172,KAHAN,1,21,17-04-24
173,KAHOTA TOWN,1,106,17-04-24
174,KAHROR PAKKA,1,95,17-04-24
175,KAKAR KHURASAN,1,36,17-04-24
176,KALAT,1,17,17-04-24
177,KALLAR KAHAR,1,81,17-04-24
178,KALLAR SAEEDAN TOWN,1,106,17-04-24
179,KALUCHI,1,59,17-04-24
180,KALUR KOT,1,80,17-04-24
181,KAMALIA,1,111,17-04-24
182,KAMBAR,1,128,17-04-24
183,KAMONKI,1,85,17-04-24
184,KANDHKOT,1,160,17-04-24
185,KANDIARO,1,159,17-04-24
186,KARAK,1,62,17-04-24
187,KAREZAT,1,29,17-04-24
188,KAROR LAL ESAN,1,94,17-04-24
189,KASHMORE,1,120,17-04-24
190,KASUR,1,90,17-04-24
191,KECH,1,18,17-04-24
192,KHADO KHEL,1,56,17-04-24
193,KHAIR PUR TAMEWALI,1,79,17-04-24
194,KHAIRPUR,1,121,17-04-24
195,KHAIRPUR NATAN SHAH,1,114,17-04-24
196,KHAN GARH,1,115,17-04-24
197,KHANEWAL,1,91,17-04-24
198,KHANPUR,1,104,17-04-24
199,KHANPUR (SKP),1,129,17-04-24
200,KHAPLU,1,49,17-04-24
201,KHAR BAJAUR,1,39,17-04-24
202,KHARAN,1,19,17-04-24
203,KHARIAN,1,86,17-04-24
204,KHARMANG,1,52,17-04-24
205,KHIALI SHAH PUR TOWN,1,85,17-04-24
206,KHIPRO,1,127,17-04-24
207,KHUSHAB,1,92,17-04-24
208,KHUZDAR,1,20,17-04-24
209,KINGRI,1,121,17-04-24
210,KIRDGAB,1,24,17-04-24
211,KOHAT,1,63,17-04-24
212,KOHLU,1,21,17-04-24
213,KOT ADDU,1,99,17-04-24
214,KOT DIJI,1,121,17-04-24
215,KOT GHULAM MUHAMMAD,1,124,17-04-24
216,KOT MOMIN,1,108,17-04-24
217,KOTLI,1,3,17-04-24
218,KOTLI SATTIAN TOWN,1,106,17-04-24
219,KOTRI,1,118,17-04-24
220,KUNRI,1,135,17-04-24
221,KURRAM CENTRAL,1,41,17-04-24
222,LADHA,1,46,17-04-24
223,LAHORE,1,73,17-04-24
224,LAKHI,1,129,17-04-24
225,LAKKI MARWAT,1,65,17-04-24
226,LANDI KOTAL,1,40,17-04-24
227,LARKANA,1,122,17-04-24
228,LATIFABAD,1,116,17-04-24
229,LAYYAH,1,94,17-04-24
230,LEHRI,1,34,17-04-24
231,LIAQATPUR,1,104,17-04-24
232,LODHRAN,1,95,17-04-24
233,LORALAI / BORI,1,23,17-04-24
234,LOWER KURRAM,1,41,17-04-24
235,LOWER MOHMAND - AKKAGHUND,1,42,17-04-24
236,LOWER MOHMAND - AMBAR,1,42,17-04-24
237,LOWER MOHMAND - PANDYALI,1,42,17-04-24
238,LOWER MOHMAND - PRANGHAR,1,42,17-04-24
239,LOWER OREAKZAI,1,43,17-04-24
240,MACHH,1,11,17-04-24
241,MAKIN,1,46,17-04-24
242,MALIKWAL,1,96,17-04-24
243,MAMUND,1,39,17-04-24
244,MANDI BAHA-U-DIN,1,96,17-04-24
245,MANDI PUR TOWN,1,85,17-04-24
246,MANG,1,8,17-04-24
247,MANJGHAND,1,118,17-04-24
248,MANKERA,1,80,17-04-24
249,MANSEHRA,1,68,17-04-24
250,MARDAN,1,69,17-04-24
251,MASHABRUM,1,49,17-04-24
252,MASHKAI,1,9,17-04-24
253,MASHKEL,1,35,17-04-24
254,MASTUJ,1,58,17-04-24
255,MASTUNG,1,24,17-04-24
