prod_log_id,prod_id,scheme_id,bonus_scheme,bonus_units,fp,tp,entry_date,remarks,type,bonus_status,mrp
270,42,3,100,25,85.63,92.57,14-06-24,New System Launched,1,CLOSED,0
271,42,4,100,25,114.01,123.25,14-06-24,New System Launched,1,CLOSED,0
272,42,5,100,25,138.12,149.32,28-08-24,Price Or Bonus Changed,1,ACTIVE,0
273,42,7,100,50,70.76,76.5,14-06-24,New System Launched,1,CLOSED,0
274,43,1,100,25,30.66,33.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
275,44,1,100,25,22.8,24.65,14-06-24,Price Or Bonus Changed,1,CLOSED,0
276,45,1,100,0,15.22,16.45,14-06-24,Price Or Bonus Changed,1,CLOSED,0
277,46,1,100,40,94.35,102,14-06-24,New System Launched,1,CLOSED,0
278,46,2,100,40,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
279,46,3,100,40,153.32,165.75,14-06-24,New System Launched,1,CLOSED,0
280,46,4,100,40,214.65,232.05,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
281,47,1,100,30,77.84,84.15,14-06-24,New System Launched,1,CLOSED,0
282,47,2,100,30,149.39,161.5,14-06-24,New System Launched,1,CLOSED,0
283,47,3,100,20,275.19,297.5,14-06-24,Price Or Bonus Changed,1,CLOSED,0
284,48,1,100,30,51.11,55.25,14-06-24,New System Launched,1,CLOSED,0
285,48,2,100,30,77.05,83.3,14-06-24,New System Launched,1,CLOSED,0
286,48,3,100,30,121.08,130.9,14-06-24,Price Or Bonus Changed,1,CLOSED,0
287,49,1,100,70,77.84,84.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
288,50,1,100,160,90.42,97.75,14-06-24,New System Launched,1,CLOSED,0
289,50,2,100,160,124.23,134.3,14-06-24,New System Launched,1,CLOSED,0
290,50,3,100,20,136.02,147.05,14-06-24,New System Launched,1,CLOSED,0
291,50,4,100,160,136.02,147.05,14-06-24,New System Launched,1,CLOSED,0
292,50,5,100,20,168.16,181.79,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
293,51,1,100,40,137.59,148.75,14-06-24,New System Launched,1,CLOSED,0
294,51,2,100,60,137.59,148.75,14-06-24,New System Launched,1,CLOSED,0
295,51,3,100,80,137.59,148.75,14-06-24,New System Launched,1,CLOSED,0
296,51,4,100,80,157.25,170,14-06-24,New System Launched,1,CLOSED,0
297,51,5,100,60,188.7,204,14-06-24,New System Launched,1,CLOSED,0
298,51,6,100,70,188.7,204,14-06-24,New System Launched,1,CLOSED,0
299,51,7,100,80,188.7,204,14-06-24,New System Launched,1,CLOSED,0
300,51,8,100,60,226.44,244.8,14-06-24,New System Launched,1,CLOSED,0
301,51,9,100,60,316.86,342.55,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
302,52,1,100,40,77.84,84.15,14-06-24,New System Launched,1,CLOSED,0
303,52,2,100,60,77.84,84.15,14-06-24,New System Launched,1,CLOSED,0
304,52,3,100,80,77.84,84.15,14-06-24,New System Launched,1,CLOSED,0
305,52,4,100,80,94.35,102,14-06-24,New System Launched,1,CLOSED,0
306,52,5,100,80,125.8,136,14-06-24,New System Launched,1,CLOSED,0
307,52,6,100,80,149.39,161.5,14-06-24,New System Launched,1,CLOSED,0
308,52,7,100,80,179.27,193.8,14-06-24,New System Launched,1,CLOSED,0
309,52,8,100,80,250.81,271.15,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
310,53,1,100,40,141.53,153,14-06-24,New System Launched,1,CLOSED,0
311,53,2,100,60,141.53,153,14-06-24,New System Launched,1,CLOSED,0
312,53,3,100,80,141.53,153,14-06-24,New System Launched,1,CLOSED,0
313,53,4,100,80,171.4,185.3,14-06-24,New System Launched,1,CLOSED,0
314,53,5,100,80,235.88,255,14-06-24,New System Launched,1,CLOSED,0
315,53,6,100,80,278.33,300.9,14-06-24,New System Launched,1,CLOSED,0
316,53,7,100,80,334,361.08,14-06-24,New System Launched,1,CLOSED,0
317,53,8,100,80,467.03,504.9,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
318,54,1,100,30,196.56,212.5,14-06-24,New System Launched,1,CLOSED,0
319,54,2,100,30,310.57,335.75,14-06-24,New System Launched,1,CLOSED,0
320,54,3,100,30,377.4,408,14-06-24,New System Launched,1,CLOSED,0
321,54,4,100,30,490.62,530.4,14-06-24,New System Launched,1,CLOSED,0
322,54,5,100,30,528.36,571.2,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
323,55,1,100,30,156.46,169.15,14-06-24,New System Launched,1,CLOSED,0
324,55,2,100,30,275.19,297.5,14-06-24,New System Launched,1,CLOSED,0
325,55,3,100,0,353.81,382.5,22-06-24,Price Or Bonus Changed,1,CLOSED,0
326,55,4,100,30,353.81,382.5,22-06-24,Prices Changed,3,ACTIVE,0
327,56,1,100,45,30.66,33.15,14-06-24,New System Launched,1,CLOSED,0
328,56,2,100,45,39.31,42.5,14-06-24,New System Launched,1,CLOSED,0
329,56,3,100,45,41.75,45.14,14-06-24,New System Launched,1,CLOSED,0
330,56,4,100,30,47.96,51.85,14-06-24,New System Launched,1,CLOSED,0
331,56,5,100,45,50.71,54.82,14-06-24,New System Launched,1,CLOSED,0
332,56,6,100,10,125.8,136,14-06-24,Price Or Bonus Changed,1,CLOSED,0
333,56,7,100,20,125.8,136,27-06-24,Prices Changed,3,ACTIVE,0
334,57,1,100,25,86.49,93.5,14-06-24,New System Launched,1,CLOSED,0
335,57,2,100,40,86.49,93.5,14-06-24,New System Launched,1,CLOSED,0
336,57,3,100,40,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
337,57,4,100,40,157.25,170,14-06-24,New System Launched,1,CLOSED,0
338,57,5,100,40,172.98,187,14-06-24,New System Launched,1,CLOSED,0
339,57,6,100,40,224.08,242.25,14-06-24,New System Launched,1,CLOSED,0
340,57,7,100,40,290.91,314.5,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
341,58,1,100,40,385.26,416.5,14-06-24,Price Or Bonus Changed,1,CLOSED,0
342,59,1,100,30,156.46,169.15,14-06-24,New System Launched,1,CLOSED,0
343,59,2,100,30,172.11,186.07,14-06-24,New System Launched,1,CLOSED,0
344,59,3,100,30,224.08,242.25,14-06-24,New System Launched,1,CLOSED,0
345,59,4,100,30,290.91,314.5,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
346,60,1,100,30,124.23,134.3,14-06-24,Price Or Bonus Changed,1,CLOSED,0
347,61,1,100,90,52.68,56.95,14-06-24,New System Launched,1,CLOSED,0
348,61,2,100,30,61.33,66.3,14-06-24,New System Launched,1,CLOSED,0
349,61,3,100,40,61.33,66.3,14-06-24,New System Launched,1,CLOSED,0
350,61,4,100,60,61.33,66.3,14-06-24,New System Launched,1,CLOSED,0
351,61,5,100,80,61.33,66.3,14-06-24,New System Launched,1,CLOSED,0
352,61,6,100,30,73.12,79.05,14-06-24,New System Launched,1,CLOSED,0
353,61,7,100,30,76.58,82.79,14-06-24,New System Launched,1,CLOSED,0
354,61,8,100,20,78.63,85,14-06-24,New System Launched,1,CLOSED,0
355,61,9,100,30,78.63,85,14-06-24,New System Launched,1,CLOSED,0
356,61,10,100,50,78.63,85,14-06-24,New System Launched,1,CLOSED,0
357,61,11,100,0,89.24,96.48,14-06-24,New System Launched,1,CLOSED,0
358,61,12,100,10,89.24,96.48,14-06-24,New System Launched,1,CLOSED,0
359,61,13,100,20,89.24,96.48,14-06-24,New System Launched,1,CLOSED,0
360,61,14,100,0,102.21,110.5,14-06-24,New System Launched,1,CLOSED,0
361,61,15,100,0,128.95,139.4,05-09-24,Price Or Bonus Changed,1,CLOSED,0
362,62,1,100,25,115.58,124.95,14-06-24,New System Launched,1,CLOSED,0
363,62,2,100,35,115.58,124.95,14-06-24,New System Launched,1,CLOSED,0
364,62,3,100,25,122.75,132.7,14-06-24,New System Launched,1,CLOSED,0
365,62,4,100,25,126.04,136.26,14-06-24,New System Launched,1,CLOSED,0
366,62,5,100,25,148.6,160.65,14-06-24,New System Launched,1,CLOSED,0
367,62,6,100,25,156.46,169.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
368,63,1,100,35,188.7,204,14-06-24,Price Or Bonus Changed,1,CLOSED,0
369,64,1,100,25,201.28,217.6,14-06-24,New System Launched,1,CLOSED,0
370,64,2,100,35,201.28,217.6,14-06-24,New System Launched,1,CLOSED,0
371,64,3,100,25,213.86,231.2,14-06-24,New System Launched,1,CLOSED,0
372,64,4,100,25,219.36,237.15,14-06-24,New System Launched,1,CLOSED,0
